"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Vehicle_rep1","Vehicle_rep2"
"LINC01122",29,2,17,24,31,14,40,16,35,50,70,53,5,17,24,64,58,38,55,61,65,63,157
"LINC01123",4,5,1,0,15,3,2,11,3,1,4,4,0,22,18,0,2,8,0,8,1,4,6
"LINC01124",3,22,3,29,14,4,0,3,1,10,1,13,0,10,3,3,0,11,6,18,9,2,5
"LINC01126",26,26,7,34,15,16,147,22,23,22,14,80,12,108,18,12,3,11,4,31,10,2,5
"LINC01127",13,83,156,43,122,25,29,13,8,46,8,15,22,34,16,61,17,106,41,9,62,3,13
"LINC01128",562,897,668,975,645,799,1062,791,643,623,738,415,936,872,695,601,202,660,958,820,512,378,1169
"LINC01132",51,43,38,69,22,37,17,29,52,80,61,124,37,151,26,55,13,34,18,12,15,1,10
"LINC01133",14,5,5,0,2,2,0,7,0,0,0,0,0,1,1,1,0,0,0,5,0,1,3
"LINC01134",14,125,24,11,18,7,46,11,18,49,5,12,4,67,7,13,0,11,4,9,17,4,6
"LINC01135",14,37,6,15,44,21,11,20,30,46,11,51,3,168,25,30,5,29,19,18,46,7,31
"LINC01136",14,7,3,4,1,4,1,2,13,7,5,1317,0,10,10,9,2,6,0,5,2,1,2
"LINC01137",251,193,236,193,144,88,46,286,257,416,98,242,219,198,135,145,47,147,172,122,165,62,269
"LINC01138",258,422,327,199,361,241,555,767,632,775,229,603,373,794,498,380,223,600,308,720,451,34,78
"LINC01139",5,4,20,4,5,11,13,5,10,8,8,15,19,3,37,17,16,12,7,4,3,0,0
"LINC01140",167,29,20,30,25,17,9,24,33,33,22,23,13,139,33,22,5,17,22,31,20,11,25
"LINC01141",72,196,25,364,48,287,29,67,254,40,67,63,141,172,122,107,29,245,76,55,37,88,226
"LINC01142",24,0,2,0,1,2,8,1,6,1,6,5,1,3,1,0,4,1,0,0,4,0,0
"LINC01144",117,171,55,118,145,88,67,125,185,215,79,711,163,352,93,130,51,65,160,240,73,18,55
"LINC01146",0,10,9,51,26,42,4,19,66,41,5,41,3,16,53,48,25,42,10,0,62,0,0
"LINC01150",3,26,25,32,28,31,7,29,78,36,6,55,14,41,27,38,26,17,33,4,34,0,0
"LINC01152",326,485,244,496,164,384,369,313,523,521,92,484,231,1712,352,419,98,435,491,347,216,81,131
"LINC01159",69,343,32,216,50,291,74,89,37,61,100,1435,115,408,86,80,43,89,75,76,56,113,358
"LINC01160",8,25,13,35,17,34,18,46,22,34,6,27,5,40,17,24,8,29,6,5,12,2,2
"LINC01164",0,2,1,0,2,0,5,1,0,0,3,3,1,114,33,0,1,0,0,5,0,0,1
"LINC01168",4,22,1,10,9,0,2,1,5,5,5,7,6,33,8,1,0,3,6,8,1,0,0
"LINC01169",0,0,2,1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,1,0,0
"LINC01176",26,114,73,90,73,54,49,226,70,133,35,38,28,283,86,48,53,57,29,52,45,7,13
"LINC01180",1,3,0,1,1,0,1,1,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0
"LINC01184",1166,1930,886,1554,1084,1621,1304,1139,1543,1078,780,1190,1353,1607,1188,936,360,1369,747,646,857,149,396
"LINC01185",2,8,6,3,7,5,2,8,21,31,8,12,3,24,8,12,1,4,7,3,4,0,1
"LINC01186",0,0,0,1,0,5,0,1,2,0,0,1,0,0,1,1,0,0,0,0,1,1,4
"LINC01187",0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,1,0,0,0
"LINC01189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LINC01191",16,15,4,0,6,16,4,13,1,2,1,2,2,3,2,0,1,14,0,2,9,0,1
"LINC01192",2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
"LINC01193",5,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,3,0,0,0,0,0
"LINC01194",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"LINC01197",21,18,48,31,24,67,26,35,35,61,28,17,35,25,66,38,55,27,14,11,39,0,3
"LINC01203",1,0,0,2,2,1,0,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0
"LINC01204",0,1,1,5,1,2,1,2,0,0,1,1,0,0,0,1,0,10,0,0,0,0,2
"LINC01205",0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC01206",55,188,29,136,315,2217,57,171,26,18,16,19,63,1039,54,42,8,73,435,160,210,171,475
"LINC01208",9,7,0,1,0,4,2,7,1,5,1,2,1,8,0,0,2,4,5,3,2,0,0
"LINC01209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC01210",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC01213",2,1,0,3,0,3,1,0,2,4,0,3,0,45,1,2,0,0,1,1,1,1,4
"LINC01214",0,0,0,0,0,1,1,0,0,0,0,0,0,17,2,0,1,0,1,0,0,0,3
"LINC01215",4,1,1,3,2,0,0,3,0,3,2,3,0,6,2,4,2,3,2,2,8,0,0
"LINC01216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01220",32,33,3,16,10,31,15,23,14,16,7,111,12,32,22,20,8,39,37,17,14,7,36
"LINC01222",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01227",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC01230",766,0,0,0,1,0,1,0,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0
"LINC01232",108,219,57,306,197,273,202,187,111,117,62,390,235,498,141,298,84,211,224,268,198,12,20
"LINC01233",3,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC01234",674,23,4,47,77,7,355,4,422,36,35,34,5,13,143,6,6,18,4,25,57,0,0
"LINC01237",4,5,2,3,19,0,21,8,2,6,14,10,1,46,6,9,4,20,3,6,3,1,10
"LINC01239",0,14,20,2,5,8,41,0,13,8,9,15,3,1,2,0,0,0,11,2,0,7,16
"LINC01242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01247",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"LINC01248",6,4,0,0,2,0,12,0,2,2,2,6,0,5,9,0,0,2,0,0,1,4,12
"LINC01249",0,0,0,0,0,1,2,0,1,0,9,0,0,0,21,0,0,0,0,0,0,0,0
"LINC01250",3,2,0,3,1,3,2,3,1,0,7,1,0,14,3,1,0,1,0,1,2,0,1
"LINC01251",2,1,4,3,2,4,1,5,0,4,2,1,1,19,8,1,0,3,3,2,1,1,0
"LINC01252",13,8,49,26,35,78,127,389,15,115,11,13,20,245,30,28,42,31,14,29,39,10,23
"LINC01254",26,2,1,1,31,5,95,3,17,8,10,3,6,4,25,4,0,4,2,1,1,0,0
"LINC01255",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINC01257",53,1,0,1,9,1,3,0,3,1,2,0,0,10,12,1,2,2,0,4,1,0,0
"LINC01258",7,0,3,1,3,3,1,3,2,4,1,3,0,8,4,2,1,0,0,0,1,0,1
"LINC01266",35,0,13,2,8,15,2,1,5,103,2,0,60,2,42,2,2,49,1,0,3,3,7
"LINC01267",1,0,7,0,5,1,2,5,0,1,1,2,0,0,1,0,1,0,0,3,0,0,0
"LINC01270",10,60,52,52,38,55,29,47,49,110,11,93,23,194,27,62,12,104,35,16,59,3,18
"LINC01271",3,8,6,10,4,10,2,5,4,16,2,12,2,19,2,9,0,15,6,9,11,0,5
"LINC01273",10,24,20,15,10,42,7,60,1,38,6,18,8,82,12,21,7,33,26,37,8,7,25
"LINC01276",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01277",20,8,3,15,16,11,15,21,9,19,5,6,5,35,6,7,1,0,4,2,9,4,2
"LINC01278",1235,3116,1329,2493,1697,4027,2863,1240,1924,1236,1288,1148,1234,3222,1451,1492,360,1461,969,2732,851,605,1911
"LINC01280",2,6,0,0,6,11,14,1,0,1,3,0,1,5,4,1,14,0,1,11,1,0,1
"LINC01281",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"LINC01282",0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"LINC01284",3,0,0,0,0,1,7,7,0,4,0,0,4,8,2,3,0,0,2,1,3,0,0
"LINC01285",29,68,20,97,68,227,80,32,3,71,25,36,6,91,34,8,10,22,16,31,18,2,5
"LINC01289",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"LINC01299",1,1,0,4,30,10,15,4,3,1,29,0,1,2,48,2,1,4,0,0,0,0,0
"LINC01300",0,0,0,1,0,0,1,1,8,3,2,0,0,0,0,3,0,2,0,0,0,0,0
"LINC01301",1993,58,40,66,127,38,244,76,37,79,86,57,196,193,107,50,20,96,40,35,75,87,203
"LINC01304",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"LINC01305",14,99,55,1,13,2,3,23,2,21,8,5,2,161,8,6,6,4,0,12,13,15,32
"LINC01310",11,3,0,9,8,3,48,11,4,3,27,2,2,6,3,1,3,8,0,3,4,5,7
"LINC01311",29,38,7,31,35,21,112,93,16,24,38,71,22,62,41,22,11,39,3,28,16,4,19
"LINC01312",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"LINC01335",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01338",18,15,5,410,72,46,29,89,14,90,41,54,2,794,47,97,7,23,41,3,37,4,11
"LINC01340",2,27,10,7,4,8,3,1,3,2,4,10,15,7,10,13,5,1,4,4,22,1,5
"LINC01341",88,101,63,90,83,109,175,261,101,116,34,32,69,1132,100,99,59,74,9,58,69,8,29
"LINC01342",3,12,1,2,0,10,39,11,1,1,0,2,4,2,0,10,5,26,0,5,2,0,1
"LINC01343",3,0,3,1,2,1,3,1,0,1,1,2,0,0,0,1,1,7,0,0,3,2,6
"LINC01344",0,0,1,1,1,1,1,0,1,1,0,6,0,3,1,1,0,0,0,0,0,0,0
"LINC01346",18,0,0,1,2,1,3,0,1,2,14,2,0,2,12,2,0,0,0,1,0,0,0
"LINC01347",40,62,12,38,9,32,113,40,33,65,26,10,25,181,31,51,1,15,13,40,21,20,60
"LINC01349",0,10,0,20,4,9,0,14,4,3,2,5,10,40,23,1,0,2,11,2,8,0,2
"LINC01350",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC01351",325,378,3,58,102,220,274,95,53,90,303,83,295,369,482,111,13,158,66,271,21,38,107
"LINC01352",0,7,7,1,10,7,16,31,25,67,6,11,37,19,18,1,11,24,6,3,17,1,0
"LINC01353",38,40,6,22,14,29,8,23,54,28,22,218,13,26,12,10,7,23,3,11,11,0,7
"LINC01354",57,447,164,1383,436,220,89,682,321,486,180,587,113,2128,191,314,103,178,197,215,256,66,181
"LINC01355",136,144,152,226,172,236,764,424,122,232,200,49,174,909,255,196,88,301,27,105,104,14,12
"LINC01356",9,10,11,15,29,19,15,32,43,32,46,67,23,16,62,27,5,25,8,18,20,11,29
"LINC01358",5,5,67,35,31,13,5,41,7,43,5,29,1,70,8,38,9,131,44,7,38,0,4
"LINC01359",18,19,1,7,26,10,39,25,8,29,23,10,9,70,20,13,13,10,3,19,6,1,4
"LINC01360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01361",0,0,3,0,11,0,0,2,0,1,2,0,1,4,6,1,2,0,0,3,0,0,0
"LINC01363",2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1
"LINC01364",3,2,0,1,0,0,2,5,1,5,4,3,0,0,1,2,1,1,0,2,1,0,1
"LINC01365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01366",33,30,16,5,10,27,4,3,7,1,1,16,4,12,7,19,3,22,6,8,6,2,4
"LINC01370",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINGO1",2605,1001,213,2375,5302,1420,10798,1252,1688,811,6248,1503,2376,1574,3246,969,514,2777,318,428,995,85,380
"LINGO2",2,3,166,4,6,7,0,7,6,7,152,42,2,10,18,1,2,3,60,6,1,7,20
"LINGO3",162,44,14,72,129,48,349,207,156,125,1079,158,273,222,160,89,43,76,74,87,126,0,4
"LINGO4",13,4,0,13,8,3,0,3,11,49,17,46,3,4,18,14,12,6,0,3,12,0,8
"LIPA",3352,9014,3946,5675,6649,11318,6335,2974,7576,5109,3378,4761,3774,3419,6802,7113,1817,5868,3690,2198,5214,2508,5487
"LIPC",54,24,24,97,43,49,14,40,150,63,10,16,64,148,27,25,48,8,8,3,181,0,1
"LIPE",562,618,61,1195,2452,766,2128,373,1022,203,728,226,519,391,501,317,118,446,183,156,244,164,669
"LIPE-AS1",82,123,98,114,76,128,120,306,118,165,53,61,185,166,155,125,85,135,138,78,188,27,149
"LIPF",0,1,2,11,0,2,0,2,0,1,0,2,0,6,1,0,2,2,3,0,1,0,0
"LIPG",535,9059,1694,321,425,15541,270,725,642,971,370,1045,1663,3376,500,457,349,429,1018,717,527,7401,23144
"LIPH",121,7,90,0,49,5,5,109,40,26,36,33,6,313,45,31,5,15,59,12,38,2,4
"LIPI",3,4,0,5,7,6,15,3,0,4,8,1,0,16,8,10,1,1,1,5,2,0,4
"LIPJ",10,1,6,6,2,6,7,9,2,0,4,6,0,15,2,2,1,1,2,1,2,0,0
"LIPK",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LIPM",1,3,14,19,6,29,6,17,81,11,0,14,12,19,12,10,26,9,10,2,50,0,0
"LIPN",0,1,3,3,0,5,3,0,0,1,0,1,5,4,4,5,2,2,3,0,7,0,0
"LIPT1",223,446,221,238,228,282,274,409,387,369,253,215,276,491,370,276,160,415,220,363,201,116,291
"LIPT2",46,87,55,64,75,84,36,46,89,73,76,39,43,152,66,39,17,78,41,42,84,34,156
"LITAF",3650,18831,9808,6511,8805,6356,7591,3444,2509,5542,5370,6299,6311,6102,6823,8228,2676,7238,8143,6455,6198,2967,8578
"LIX1",181,816,1148,929,2139,1804,1792,3235,1819,1710,703,4899,676,2895,1959,2064,365,663,3216,637,655,1103,2826
"LIX1L",2174,2901,1937,3210,1823,3173,3405,2098,3257,1417,2513,2654,3980,2216,2630,2014,692,4112,1795,2287,1517,2873,6215
"LKAAEAR1",20,83,3,26,8,8,24,63,36,8,9,154,21,65,13,6,3,21,4,7,28,1,8
"LLGL1",2424,9444,1765,7434,7812,9416,17519,7457,7451,6441,4463,3816,5044,7336,6451,4557,865,5199,4557,2654,4950,3195,14285
"LLGL2",40,178,89,207,289,193,191,686,198,531,119,160,144,973,208,371,96,205,316,77,148,37,163
"LLPH",994,1479,1064,1607,827,1535,1103,1453,1503,874,1169,863,1506,1130,1368,840,369,1521,948,677,932,565,1229
"LMAN1",2319,3543,7257,7390,3867,8092,4299,2421,5365,3075,2474,4220,6580,3127,4071,4465,1268,7687,5073,6456,4497,1940,4069
"LMAN1L",2,1,0,2,1,1,1,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"LMAN2",9200,10692,8017,9091,3809,5842,7579,6373,9368,5660,5157,12091,7357,5091,5294,4488,3088,16927,5284,5784,7781,3838,14693
"LMAN2L",1104,2898,1109,1932,851,1722,1468,1921,3202,1551,1849,1382,2890,1962,1839,1946,576,2734,1449,1373,1864,1135,3597
"LMBR1",1592,7002,1929,4726,2152,5820,5786,2971,3280,3049,2732,3068,5870,3040,4231,3621,1200,4842,2891,3175,3173,1709,3674
"LMBR1L",1633,1085,651,1098,949,1194,2794,2224,1367,1550,1356,928,1198,2714,2449,1496,726,1855,439,690,1040,643,2049
"LMBRD1",1935,4352,4658,2699,4979,4581,4017,4597,2919,3844,2632,3958,1899,3785,4107,3089,1533,5516,3596,2569,5373,1962,3731
"LMBRD2",1723,3383,1317,3077,1540,1983,2769,968,1904,1550,1142,1496,1854,2207,1946,1173,352,1520,1493,2221,1289,493,1223
"LMCD1",568,1705,1530,658,326,504,1445,2440,840,593,387,1144,648,723,625,505,185,933,1528,207,577,946,3635
"LMCD1-AS1",111,65,12,39,80,84,262,99,100,85,72,62,61,204,106,50,11,92,30,34,53,25,84
"LMF1",1172,2446,479,586,1373,1233,2715,1602,1356,1373,2350,1563,1861,1674,1402,913,583,1608,481,508,1445,772,3608
"LMF1-AS1",31,9,4,25,74,9,32,2,10,7,22,3,5,7,7,15,5,12,2,4,2,0,1
"LMF2",1564,8364,5019,8287,2240,4475,5327,6642,3661,2993,1795,5254,5035,4290,1796,3079,1769,5991,2817,2240,4490,1376,6967
"LMLN",513,1167,681,1106,569,1290,900,598,812,805,348,311,835,1568,492,675,137,1229,461,1214,631,462,1266
"LMNA",6628,15994,10345,13176,7570,8556,5232,6020,2577,5024,3292,11082,10563,7320,4676,3637,2041,14152,6457,5815,7333,5642,25551
"LMNB1",1655,3505,1798,5182,3182,3764,7811,1462,3451,1009,6690,3448,6938,2996,3525,921,423,2438,2297,2797,684,1886,6206
"LMNB2",3823,6139,2204,3345,4374,3550,13929,3895,9639,2079,12192,3436,12036,2859,4048,1925,878,6214,3824,5097,2460,2568,10475
"LMO1",744,1048,8,29,307,65,523,659,29,134,1325,221,940,55,218,228,300,1023,8,824,40,628,2638
"LMO2",1169,6910,4366,2036,2343,3060,855,6354,2813,1536,1995,3189,7759,2037,2979,3105,2676,7507,5146,3685,2926,1424,3517
"LMO3",166,5003,658,5504,2797,5495,476,6037,303,6579,1671,1722,3417,7929,1028,3302,3359,1639,164,256,1078,683,1311
"LMO4",5729,25577,3906,19658,5110,5395,6675,6994,11331,7821,8440,5423,11221,6262,8183,4363,1980,8633,7139,5943,7754,4205,10584
"LMO7",843,402,789,2021,601,757,561,680,470,690,1203,567,542,692,696,308,175,1584,333,422,367,517,1386
"LMO7-AS1",13,11,0,8,3,9,5,22,13,39,8,2,3,8,15,0,6,69,2,0,18,0,1
"LMO7DN",2,0,1,2,11,5,0,51,5,2,28,14,70,25,17,1,1,4,1,4,1,0,0
"LMOD1",253,249,548,563,1275,537,669,520,692,800,266,318,265,581,394,794,221,425,223,230,784,994,3968
"LMOD2",0,5,0,13,4,1,0,1,7,2,4,1,0,2,5,1,2,6,4,0,1,0,0
"LMOD3",14,27,13,20,24,66,14,38,29,12,18,35,49,45,63,29,30,17,10,3,12,2,1
"LMTK2",713,3186,1409,3189,1656,2955,3420,1022,1774,1070,2061,1191,2207,1678,1763,1138,354,4563,1014,1538,780,913,3282
"LMTK3",1174,1284,100,588,1062,777,3636,1751,1368,914,1306,657,1650,2166,1548,1089,300,1034,763,763,878,539,2629
"LMX1A",1,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,2,0
"LMX1B",7,0,3,1,3,1,146,3,1,19,2,4,7,15,5,0,1,4,3,1,0,0,1
"LNP1",581,312,54,208,457,390,1045,146,448,257,755,367,455,190,404,194,47,276,224,325,107,96,232
"LNPEP",813,2468,2924,3806,2141,2220,1899,2784,2614,1206,1166,2573,2435,2993,1711,2326,696,2461,2518,2365,1351,452,1294
"LNX1",839,155,227,106,250,127,2154,730,269,484,1749,120,684,358,573,219,303,758,84,334,548,72,172
"LNX1-AS1",0,0,1,0,0,0,14,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0
"LNX1-AS2",0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LNX2",281,304,333,528,226,655,663,185,220,204,307,424,578,138,286,259,85,345,195,197,266,318,940
"LOH12CR2",418,460,83,296,265,154,93,427,302,698,290,367,173,322,478,190,102,174,259,229,242,81,164
"LONP1",3856,15684,3437,4131,5282,8992,10892,7296,11689,3368,7306,5493,10434,10164,4042,3555,1394,4920,3781,4912,7289,1886,9256
"LONP2",2794,8791,2194,4516,4190,5095,5739,2927,5354,3516,3156,3080,5788,6129,3912,4391,1009,4724,3176,2255,2962,2108,6497
"LONRF1",1002,2574,1674,2313,1201,3108,2681,1209,4252,1097,1669,724,2889,1545,1676,1184,343,2786,511,743,1285,660,1538
"LONRF2",1038,4005,1598,3229,2969,3299,2646,831,2068,1722,1952,1386,1300,2438,1378,2882,773,7392,867,2186,1506,3121,8612
"LONRF3",136,298,65,680,121,257,76,48,52,174,182,242,42,317,106,152,25,212,147,90,42,3,25
"LOX",404,3821,14796,1505,2912,2527,519,1478,414,2876,880,156,3134,2061,2322,633,485,4200,2139,6013,10800,1906,4833
"LOXHD1",6,1,3,0,2,0,4,1,1,1,8,2,4,14,3,4,1,2,0,2,3,0,2
"LOXL1",227,814,1743,158,370,931,585,960,202,489,322,3318,687,1462,216,165,304,3363,1183,365,1180,2997,13483
"LOXL1-AS1",27,83,292,10,85,226,11,31,34,51,61,203,36,730,26,31,59,482,114,62,28,192,425
"LOXL2",4083,2275,4436,1538,1456,3890,2676,1111,3589,1345,1072,3375,4059,799,1319,1954,675,5746,1313,1530,3461,1399,6120
"LOXL3",555,2300,1861,2006,1099,2443,3027,1345,1657,1826,1316,1142,1996,2190,1402,2116,484,3035,2046,2148,1364,802,3532
"LOXL4",21,87,301,574,88,50,134,65,18,135,49,61,53,122,35,108,15,297,79,177,99,921,3598
"LPA",4,1,4,12,7,1,2,1,4,16,1,1,0,27,8,0,72,1,1,0,2,0,2
"LPAL2",10,9,29,24,28,8,20,72,41,26,42,13,8,154,35,6,7,7,5,1,11,1,0
"LPAR1",642,2984,2660,1136,9759,2551,1869,3707,7304,2758,1466,2856,7301,1650,1071,2807,1286,1973,5001,2256,5443,160,457
"LPAR2",179,266,140,280,333,276,910,886,633,543,710,203,196,394,446,379,167,375,215,338,469,121,541
"LPAR3",3,7,25,9,36,8,1,3,1,2,3,0,1,6,10,4,0,14,4,2,2,1,6
"LPAR4",112,388,13,31,344,98,420,222,131,139,458,14,34,460,48,81,16,112,8,8,14,349,617
"LPAR5",111,838,792,2109,651,1726,670,755,3110,1229,309,2028,512,982,1100,1062,510,1031,649,89,1461,1,7
"LPAR6",480,894,1224,1051,939,1191,514,1660,842,2782,412,1707,1140,1901,2313,2220,803,3521,854,425,1499,36,47
"LPCAT1",3572,13045,6365,5686,4030,9512,12894,4746,6364,5712,11982,6828,9789,6255,6774,6160,3737,11654,7704,4750,4894,3572,13095
"LPCAT2",746,758,1155,1480,1078,1976,724,834,2360,1192,242,2643,651,1355,1104,1132,770,900,1618,284,1408,750,1862
"LPCAT3",202,896,576,1337,461,745,424,446,786,629,844,822,981,503,556,755,141,1047,931,851,804,1178,3656
"LPCAT4",567,757,1087,1169,607,803,1637,1175,762,504,910,863,914,907,852,755,358,1695,399,634,448,320,1429
"LPGAT1",1866,1790,2161,3371,4042,2265,3126,1108,1707,1208,2710,1437,1930,2187,1946,1796,391,2598,663,1803,1630,910,1876
"LPIN1",969,4003,1214,4326,2550,2362,2206,2321,2988,2658,2446,1541,1826,6618,2380,1337,426,1598,1336,744,1169,1236,3527
"LPIN2",2125,11513,2328,9201,2853,14320,4375,2957,4488,3091,3012,7042,4542,5181,3314,5095,898,3205,6407,3365,2887,2078,6827
"LPIN3",55,163,60,634,168,415,202,281,48,157,233,341,59,1899,149,197,62,382,186,276,62,108,352
"LPL",6343,5311,4840,2991,3060,12234,26241,1059,6742,3564,2567,19657,2345,3889,1552,6165,3150,8644,3605,10837,5681,184,535
"LPO",13,8,10,6,12,13,8,5,10,36,13,6,3,15,16,12,0,6,16,9,50,0,0
"LPP",4191,2465,4248,2474,2808,4004,2324,3220,2060,1929,1311,1996,3578,4344,1505,3495,632,3034,3053,3542,1965,1577,3593
"LPP-AS1",2,0,1,2,0,1,0,3,0,4,0,0,0,0,0,1,0,7,0,1,2,0,0
"LPP-AS2",401,393,306,353,227,402,156,297,433,287,102,672,203,829,204,300,76,287,417,272,340,91,306
"LPXN",232,1163,1297,1219,496,1059,582,1023,1361,1338,325,1043,549,1564,891,1095,369,875,1034,518,1052,123,295
"LRAT",23,271,118,116,545,75,104,1148,40,44,217,344,273,1500,79,55,32,179,314,135,786,75,178
"LRBA",865,2593,1500,2526,1477,2079,1654,1260,1805,1394,890,1318,2641,1907,995,1967,434,1717,1868,959,1063,1575,4848
"LRCH1",360,763,607,1490,534,1311,1630,656,961,639,575,773,1032,448,660,853,339,1200,467,270,825,306,872
"LRCH2",1098,641,300,1000,833,1520,1649,322,870,485,1014,113,574,328,852,374,140,459,355,730,361,462,907
"LRCH3",1953,2073,1473,1930,1897,2264,5523,2120,2567,1819,1924,1452,2347,2391,2287,1702,582,2267,1168,2089,1067,594,2071
"LRCH4",363,1557,392,935,561,1040,1750,1433,992,1019,681,899,663,2518,822,828,407,1075,446,492,734,551,2280
"LRCOL1",8,19,10,15,2,3,33,68,11,24,4,32,24,15,14,23,4,20,0,0,13,2,26
"LRFN1",385,112,138,334,504,320,1212,770,307,303,741,151,1237,476,470,338,116,455,275,152,473,43,221
"LRFN2",35,142,1,3,105,23,15,22,25,36,268,24,32,82,165,10,17,13,77,56,9,5,20
"LRFN3",936,2037,645,1074,1012,1204,1599,1379,2724,845,1747,1022,2162,1103,753,757,373,1292,1313,1215,1580,617,3110
"LRFN4",1311,3927,1007,1852,767,1531,2464,1835,2778,601,1994,1432,1978,758,1157,991,333,1849,868,995,1337,1041,5327
"LRFN5",126,4,7,666,94,312,9,9,34,13,93,44,17,102,163,15,37,3,1,58,7,217,595
"LRG1",7,22,67,34,48,29,29,64,51,45,21,50,3,65,39,49,35,40,58,2,114,1,0
"LRGUK",69,231,52,135,40,60,53,235,31,73,51,68,32,258,60,82,28,45,20,30,64,31,73
"LRIF1",407,1136,718,1282,806,1404,622,391,1664,853,810,457,797,83,1132,620,241,873,994,1551,547,451,889
"LRIG1",5352,13576,10105,5336,14212,11182,5799,8925,40743,11628,15185,11737,22143,15694,12345,9642,3432,10054,14837,11591,14544,8899,31470
"LRIG2",807,1126,712,1373,1312,1217,2261,1243,1199,697,1302,607,1292,1590,1182,860,351,1121,1388,1571,634,364,1011
"LRIG3",33,1303,576,2082,777,1212,86,285,526,871,1486,471,438,2224,216,393,61,739,692,207,724,661,1933
"LRIT1",0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0
"LRIT2",10,6,0,0,20,2,3,8,23,2,35,8,4,7,17,6,0,5,2,2,3,1,0
"LRIT3",10,22,5,15,23,20,88,60,4,18,25,5,27,52,29,13,19,26,1,4,10,2,2
"LRP1",14269,52795,54122,26329,25164,36639,52516,39329,38551,28419,14676,72395,85230,82745,24558,36637,13796,37676,67713,20730,40390,12970,61142
"LRP10",4643,19507,6291,9788,7302,12383,4443,6992,8410,7067,4979,12239,14232,8785,6820,8061,4000,20532,12952,5956,14073,7902,33419
"LRP11",389,1653,1455,2294,1482,1551,1121,770,692,604,944,1020,494,1349,954,431,234,1374,1028,890,633,538,1244
"LRP12",1293,1354,1590,867,905,1625,1494,371,1936,615,1273,747,1022,577,1193,716,195,1585,467,542,828,844,2416
